include,source,resourceName,pubSubDocument,publish_type_SOAP_EM_OHI,namespace,subscriberPortName,mapper,messageVariant,extraFilter,addResourcesAndQueryParams,storeToESER,end
y,umg.r2,controldata,ohi_umg.r2_controldata_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_controldata_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,translationentity,ohi_umg.r2_translationentity_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_translationentity_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,jpreleaselan,ohi_umg.r2_jpreleaselan_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_jpreleaselan_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,jpresource,ohi_umg.r2_jpresource_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_jpresource_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,work,ohi_umg.r2_work_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_work_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,location,ohi_umg.r2_location_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_location_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,publishingcompany,ohi_umg.r2_publishingcompany_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_publishingcompany_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,productioncompany,ohi_umg.r2_productioncompany_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_productioncompany_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,,n,y,end
y,umg.r2,financialdataupc,ohi_umg.r2_financialdataupc_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_financialdataupc_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,(p.R2Country2 == "jp") || p.action == "deleted",n,y,end
y,umg.r2,financialdataisrc,ohi_umg.r2_financialdataisrc_1_detail,OHI,http://schemas.umusic.com/servicemarket/ohi_umg.r2_financialdataisrc_1_detail/19570825,umg_musicgadget_subscriber,n/a,pubsubwrapped,(p.R2Country2 == "jp") || p.action == "deleted",n,y,end
